Number,Count,Percentage
10,56,6.278026905829597
17,22,2.4663677130044843
15,54,6.053811659192825
2,42,4.708520179372197
24,23,2.57847533632287
23,15,1.6816143497757847
18,21,2.3542600896860986
21,15,1.6816143497757847
12,43,4.820627802690583
8,37,4.147982062780269
5,37,4.147982062780269
25,20,2.242152466367713
4,49,5.493273542600897
3,45,5.044843049327354
19,21,2.3542600896860986
1,47,5.2690582959641254
13,43,4.820627802690583
9,54,6.053811659192825
16,16,1.7937219730941705
6,47,5.2690582959641254
20,17,1.905829596412556
14,44,4.932735426008969
22,26,2.914798206278027
11,49,5.493273542600897
7,49,5.493273542600897
